,ForecastWeek,Actuals,Planned_Shipped_Cases,Planned_Trade_Spend,PM_Pipefill_Plinth,PM_Special_Pack_Extra_Free,PM_MultiBuy,PM_Price_Reduction,PM_Special_Pack_Other,PM_Other_Mechanics,PM_Price_Reduction_Multi_Buy,PM_Special_Pack_Price_Marked_Pack,PM_Pipefill_Other,PM_Loyalty_Points,PM_Special_Pack_Offer,PF_Other,PF_None_Specified,PF_Shelf,PF_Gondola_End,PF_Side_Stack,PF_Mid_Gondola,PF_Dump_Bins,PF_Shipper_OFD,PF_Free_Standing_Unit,PF_Pallet_Drop,PF_Hot_Spot,PF_Store_Entrance,PF_Ladder_Rack,X2nd_January,Bank_Holiday,Battle_of_the_Boyn,Boxing_Day,Christmas_Day,Early_May_Bank_Holiday,Easter_Monday,Easter_Sunday,Good_Friday,Guy_Fawkes_Day,Halloween,Liberation_Day,New_Years_Day,Remembrance_Sunday,Spring_Bank_Holiday,St_Andrews_Day,St_Patricks_Day,St_Davids_Day,St_Georges_Day,Summer_Bank_Holiday,Victory_in_Europe_Day,Bank_Holiday_Con,Easter_Con,NewYear_con,St_Day_Con,MeanTemperatureC,Avg_sun_hrs,Predicted_Actuals
15,201711,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.06,4.1,1.0
16,201712,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,4.1,1.0
17,201713,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,6.3,1.0
18,201714,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,6.3,1.0
19,201715,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,6.3,1.0
20,201716,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.1,6.3,1.0
21,201717,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.1,6.6,1.0
22,201648,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.6,2.7,1.0
23,201649,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.67,2.7,1.0
24,201650,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.67,2.7,1.0
